"subject","calendar.week","start","stop","arrest","employed","fin","age","race","wexp","mar","paro","prio","educ"
3,17,16,17,0,1,0,19,0,1,0,1,13,3
3,18,17,18,0,0,0,19,0,1,0,1,13,3
3,19,18,19,0,0,0,19,0,1,0,1,13,3
3,20,19,20,0,0,0,19,0,1,0,1,13,3
3,21,20,21,0,0,0,19,0,1,0,1,13,3
3,22,21,22,0,0,0,19,0,1,0,1,13,3
3,23,22,23,0,0,0,19,0,1,0,1,13,3
3,24,23,24,0,0,0,19,0,1,0,1,13,3
3,25,24,25,1,0,0,19,0,1,0,1,13,3
4,1,0,1,0,0,1,23,1,1,1,1,1,5
4,2,1,2,0,0,1,23,1,1,1,1,1,5
4,3,2,3,0,0,1,23,1,1,1,1,1,5
4,4,3,4,0,0,1,23,1,1,1,1,1,5
4,5,4,5,0,1,1,23,1,1,1,1,1,5
4,6,5,6,0,1,1,23,1,1,1,1,1,5
4,7,6,7,0,1,1,23,1,1,1,1,1,5
4,8,7,8,0,1,1,23,1,1,1,1,1,5
4,9,8,9,0,1,1,23,1,1,1,1,1,5
4,10,9,10,0,1,1,23,1,1,1,1,1,5
4,11,10,11,0,1,1,23,1,1,1,1,1,5
4,12,11,12,0,1,1,23,1,1,1,1,1,5
4,13,12,13,0,1,1,23,1,1,1,1,1,5
4,14,13,14,0,1,1,23,1,1,1,1,1,5
4,15,14,15,0,1,1,23,1,1,1,1,1,5
4,16,15,16,0,1,1,23,1,1,1,1,1,5
4,17,16,17,0,1,1,23,1,1,1,1,1,5
4,18,17,18,0,1,1,23,1,1,1,1,1,5
4,19,18,19,0,1,1,23,1,1,1,1,1,5
4,20,19,20,0,1,1,23,1,1,1,1,1,5
4,21,20,21,0,1,1,23,1,1,1,1,1,5
4,22,21,22,0,0,1,23,1,1,1,1,1,5
4,23,22,23,0,0,1,23,1,1,1,1,1,5
4,24,23,24,0,0,1,23,1,1,1,1,1,5
4,25,24,25,0,0,1,23,1,1,1,1,1,5
4,26,25,26,0,0,1,23,1,1,1,1,1,5
4,27,26,27,0,0,1,23,1,1,1,1,1,5
4,28,27,28,0,0,1,23,1,1,1,1,1,5
4,29,28,29,0,0,1,23,1,1,1,1,1,5
4,30,29,30,0,0,1,23,1,1,1,1,1,5
4,31,30,31,0,0,1,23,1,1,1,1,1,5
4,32,31,32,0,1,1,23,1,1,1,1,1,5
4,33,32,33,0,1,1,23,1,1,1,1,1,5
4,34,33,34,0,1,1,23,1,1,1,1,1,5
4,35,34,35,0,1,1,23,1,1,1,1,1,5
4,36,35,36,0,1,1,23,1,1,1,1,1,5
4,37,36,37,0,1,1,23,1,1,1,1,1,5
4,38,37,38,0,1,1,23,1,1,1,1,1,5
4,39,38,39,0,1,1,23,1,1,1,1,1,5
4,40,39,40,0,1,1,23,1,1,1,1,1,5
4,41,40,41,0,1,1,23,1,1,1,1,1,5
4,42,41,42,0,1,1,23,1,1,1,1,1,5
4,43,42,43,0,1,1,23,1,1,1,1,1,5
4,44,43,44,0,1,1,23,1,1,1,1,1,5
4,45,44,45,0,1,1,23,1,1,1,1,1,5
4,46,45,46,0,1,1,23,1,1,1,1,1,5
4,47,46,47,0,1,1,23,1,1,1,1,1,5
4,48,47,48,0,1,1,23,1,1,1,1,1,5
4,49,48,49,0,1,1,23,1,1,1,1,1,5
4,50,49,50,0,1,1,23,1,1,1,1,1,5
4,51,50,51,0,1,1,23,1,1,1,1,1,5
4,52,51,52,0,1,1,23,1,1,1,1,1,5
5,1,0,1,0,0,0,19,0,1,0,1,3,3
5,2,1,2,0,0,0,19,0,1,0,1,3,3
5,3,2,3,0,0,0,19,0,1,0,1,3,3
5,4,3,4,0,0,0,19,0,1,0,1,3,3
5,5,4,5,0,0,0,19,0,1,0,1,3,3
5,6,5,6,0,0,0,19,0,1,0,1,3,3
5,7,6,7,0,0,0,19,0,1,0,1,3,3
5,8,7,8,0,0,0,19,0,1,0,1,3,3
5,9,8,9,0,0,0,19,0,1,0,1,3,3
5,10,9,10,0,1,0,19,0,1,0,1,3,3
5,11,10,11,0,1,0,19,0,1,0,1,3,3
5,12,11,12,0,1,0,19,0,1,0,1,3,3
5,13,12,13,0,1,0,19,0,1,0,1,3,3
5,14,13,14,0,1,0,19,0,1,0,1,3,3
5,15,14,15,0,1,0,19,0,1,0,1,3,3
5,16,15,16,0,1,0,19,0,1,0,1,3,3
5,17,16,17,0,1,0,19,0,1,0,1,3,3
5,18,17,18,0,1,0,19,0,1,0,1,3,3
5,19,18,19,0,1,0,19,0,1,0,1,3,3
5,20,19,20,0,1,0,19,0,1,0,1,3,3
5,21,20,21,0,1,0,19,0,1,0,1,3,3
5,22,21,22,0,1,0,19,0,1,0,1,3,3
5,23,22,23,0,1,0,19,0,1,0,1,3,3
5,24,23,24,0,1,0,19,0,1,0,1,3,3
5,25,24,25,0,1,0,19,0,1,0,1,3,3
5,26,25,26,0,1,0,19,0,1,0,1,3,3
5,27,26,27,0,1,0,19,0,1,0,1,3,3
5,28,27,28,0,1,0,19,0,1,0,1,3,3
5,29,28,29,0,1,0,19,0,1,0,1,3,3
5,30,29,30,0,1,0,19,0,1,0,1,3,3
5,31,30,31,0,1,0,19,0,1,0,1,3,3
5,32,31,32,0,1,0,19,0,1,0,1,3,3
5,33,32,33,0,1,0,19,0,1,0,1,3,3
5,34,33,34,0,1,0,19,0,1,0,1,3,3
5,35,34,35,0,0,0,19,0,1,0,1,3,3
5,36,35,36,0,0,0,19,0,1,0,1,3,3
5,37,36,37,0,0,0,19,0,1,0,1,3,3
5,38,37,38,0,0,0,19,0,1,0,1,3,3
5,39,38,39,0,0,0,19,0,1,0,1,3,3
5,40,39,40,0,0,0,19,0,1,0,1,3,3
5,41,40,41,0,0,0,19,0,1,0,1,3,3
5,42,41,42,0,0,0,19,0,1,0,1,3,3
5,43,42,43,0,0,0,19,0,1,0,1,3,3
5,44,43,44,0,0,0,19,0,1,0,1,3,3
5,45,44,45,0,0,0,19,0,1,0,1,3,3
5,46,45,46,0,0,0,19,0,1,0,1,3,3
5,47,46,47,0,0,0,19,0,1,0,1,3,3
5,48,47,48,0,0,0,19,0,1,0,1,3,3
5,49,48,49,0,0,0,19,0,1,0,1,3,3
5,50,49,50,0,0,0,19,0,1,0,1,3,3
5,51,50,51,0,0,0,19,0,1,0,1,3,3
5,52,51,52,0,0,0,19,0,1,0,1,3,3
6,1,0,1,0,0,0,24,1,1,0,0,2,4
6,2,1,2,0,0,0,24,1,1,0,0,2,4
6,3,2,3,0,0,0,24,1,1,0,0,2,4
6,4,3,4,0,0,0,24,1,1,0,0,2,4
6,5,4,5,0,1,0,24,1,1,0,0,2,4
6,6,5,6,0,1,0,24,1,1,0,0,2,4
6,7,6,7,0,1,0,24,1,1,0,0,2,4
6,8,7,8,0,1,0,24,1,1,0,0,2,4
6,9,8,9,0,1,0,24,1,1,0,0,2,4
6,10,9,10,0,1,0,24,1,1,0,0,2,4
6,11,10,11,0,0,0,24,1,1,0,0,2,4
6,12,11,12,0,0,0,24,1,1,0,0,2,4
6,13,12,13,0,0,0,24,1,1,0,0,2,4
6,14,13,14,0,0,0,24,1,1,0,0,2,4
6,15,14,15,0,0,0,24,1,1,0,0,2,4
6,16,15,16,0,0,0,24,1,1,0,0,2,4
6,17,16,17,0,0,0,24,1,1,0,0,2,4
6,18,17,18,0,0,0,24,1,1,0,0,2,4
6,19,18,19,0,0,0,24,1,1,0,0,2,4
6,20,19,20,0,0,0,24,1,1,0,0,2,4
6,21,20,21,0,0,0,24,1,1,0,0,2,4
6,22,21,22,0,0,0,24,1,1,0,0,2,4
6,23,22,23,0,1,0,24,1,1,0,0,2,4
6,24,23,24,0,1,0,24,1,1,0,0,2,4
6,25,24,25,0,1,0,24,1,1,0,0,2,4
6,26,25,26,0,1,0,24,1,1,0,0,2,4
6,27,26,27,0,1,0,24,1,1,0,0,2,4
6,28,27,28,0,1,0,24,1,1,0,0,2,4
6,29,28,29,0,1,0,24,1,1,0,0,2,4
6,30,29,30,0,0,0,24,1,1,0,0,2,4
6,31,30,31,0,0,0,24,1,1,0,0,2,4
6,32,31,32,0,0,0,24,1,1,0,0,2,4
6,33,32,33,0,0,0,24,1,1,0,0,2,4
6,34,33,34,0,0,0,24,1,1,0,0,2,4
6,35,34,35,0,0,0,24,1,1,0,0,2,4
6,36,35,36,0,0,0,24,1,1,0,0,2,4
6,37,36,37,0,0,0,24,1,1,0,0,2,4
6,38,37,38,0,0,0,24,1,1,0,0,2,4
6,39,38,39,0,0,0,24,1,1,0,0,2,4
6,40,39,40,0,0,0,24,1,1,0,0,2,4
6,41,40,41,0,0,0,24,1,1,0,0,2,4
6,42,41,42,0,0,0,24,1,1,0,0,2,4
6,43,42,43,0,0,0,24,1,1,0,0,2,4
6,44,43,44,0,0,0,24,1,1,0,0,2,4
6,45,44,45,0,0,0,24,1,1,0,0,2,4
6,46,45,46,0,0,0,24,1,1,0,0,2,4
6,47,46,47,0,0,0,24,1,1,0,0,2,4
6,48,47,48,0,0,0,24,1,1,0,0,2,4
6,49,48,49,0,0,0,24,1,1,0,0,2,4
6,50,49,50,0,0,0,24,1,1,0,0,2,4
6,51,50,51,0,0,0,24,1,1,0,0,2,4
6,52,51,52,0,0,0,24,1,1,0,0,2,4
7,1,0,1,0,1,0,25,1,1,1,1,0,4
7,2,1,2,0,1,0,25,1,1,1,1,0,4
7,3,2,3,0,1,0,25,1,1,1,1,0,4
7,4,3,4,0,1,0,25,1,1,1,1,0,4
7,5,4,5,0,1,0,25,1,1,1,1,0,4
7,6,5,6,0,1,0,25,1,1,1,1,0,4
7,7,6,7,0,1,0,25,1,1,1,1,0,4
7,8,7,8,0,1,0,25,1,1,1,1,0,4
7,9,8,9,0,1,0,25,1,1,1,1,0,4
7,10,9,10,0,1,0,25,1,1,1,1,0,4
7,11,10,11,0,1,0,25,1,1,1,1,0,4
7,12,11,12,0,1,0,25,1,1,1,1,0,4
7,13,12,13,0,1,0,25,1,1,1,1,0,4
7,14,13,14,0,1,0,25,1,1,1,1,0,4
7,15,14,15,0,1,0,25,1,1,1,1,0,4
7,16,15,16,0,1,0,25,1,1,1,1,0,4
7,17,16,17,0,1,0,25,1,1,1,1,0,4
7,18,17,18,0,1,0,25,1,1,1,1,0,4
7,19,18,19,0,1,0,25,1,1,1,1,0,4
7,20,19,20,0,1,0,25,1,1,1,1,0,4
7,21,20,21,0,1,0,25,1,1,1,1,0,4
7,22,21,22,0,1,0,25,1,1,1,1,0,4
7,23,22,23,1,0,0,25,1,1,1,1,0,4
8,1,0,1,0,0,1,21,1,1,0,1,4,3
8,2,1,2,0,0,1,21,1,1,0,1,4,3
8,3,2,3,0,0,1,21,1,1,0,1,4,3
8,4,3,4,0,0,1,21,1,1,0,1,4,3
8,5,4,5,0,0,1,21,1,1,0,1,4,3
8,6,5,6,0,0,1,21,1,1,0,1,4,3
8,7,6,7,0,0,1,21,1,1,0,1,4,3
8,8,7,8,0,0,1,21,1,1,0,1,4,3
8,9,8,9,0,0,1,21,1,1,0,1,4,3
8,10,9,10,0,0,1,21,1,1,0,1,4,3
8,11,10,11,0,0,1,21,1,1,0,1,4,3
8,12,11,12,0,0,1,21,1,1,0,1,4,3
8,13,12,13,0,0,1,21,1,1,0,1,4,3
8,14,13,14,0,0,1,21,1,1,0,1,4,3
8,15,14,15,0,0,1,21,1,1,0,1,4,3
8,16,15,16,0,0,1,21,1,1,0,1,4,3
8,17,16,17,0,0,1,21,1,1,0,1,4,3
8,18,17,18,0,0,1,21,1,1,0,1,4,3
8,19,18,19,0,0,1,21,1,1,0,1,4,3
8,20,19,20,0,1,1,21,1,1,0,1,4,3
8,21,20,21,0,1,1,21,1,1,0,1,4,3
8,22,21,22,0,0,1,21,1,1,0,1,4,3
8,23,22,23,0,0,1,21,1,1,0,1,4,3
8,24,23,24,0,1,1,21,1,1,0,1,4,3
8,25,24,25,0,1,1,21,1,1,0,1,4,3
8,26,25,26,0,0,1,21,1,1,0,1,4,3
8,27,26,27,0,0,1,21,1,1,0,1,4,3
8,28,27,28,0,0,1,21,1,1,0,1,4,3
8,29,28,29,0,0,1,21,1,1,0,1,4,3
8,30,29,30,0,0,1,21,1,1,0,1,4,3
8,31,30,31,0,0,1,21,1,1,0,1,4,3
8,32,31,32,0,0,1,21,1,1,0,1,4,3
8,33,32,33,0,0,1,21,1,1,0,1,4,3
8,34,33,34,0,0,1,21,1,1,0,1,4,3
8,35,34,35,0,0,1,21,1,1,0,1,4,3
8,36,35,36,0,0,1,21,1,1,0,1,4,3
8,37,36,37,0,0,1,21,1,1,0,1,4,3
8,38,37,38,0,0,1,21,1,1,0,1,4,3
8,39,38,39,0,0,1,21,1,1,0,1,4,3
8,40,39,40,0,0,1,21,1,1,0,1,4,3
8,41,40,41,0,0,1,21,1,1,0,1,4,3
8,42,41,42,0,0,1,21,1,1,0,1,4,3
8,43,42,43,0,0,1,21,1,1,0,1,4,3
8,44,43,44,0,0,1,21,1,1,0,1,4,3
8,45,44,45,0,0,1,21,1,1,0,1,4,3
8,46,45,46,0,0,1,21,1,1,0,1,4,3
8,47,46,47,0,0,1,21,1,1,0,1,4,3
8,48,47,48,0,0,1,21,1,1,0,1,4,3
8,49,48,49,0,0,1,21,1,1,0,1,4,3
8,50,49,50,0,0,1,21,1,1,0,1,4,3
8,51,50,51,0,0,1,21,1,1,0,1,4,3
8,52,51,52,0,0,1,21,1,1,0,1,4,3
9,1,0,1,0,0,0,22,1,0,0,0,6,3
9,2,1,2,0,0,0,22,1,0,0,0,6,3
9,3,2,3,0,0,0,22,1,0,0,0,6,3
9,4,3,4,0,0,0,22,1,0,0,0,6,3
9,5,4,5,0,0,0,22,1,0,0,0,6,3
9,6,5,6,0,0,0,22,1,0,0,0,6,3
9,7,6,7,0,0,0,22,1,0,0,0,6,3
9,8,7,8,0,0,0,22,1,0,0,0,6,3
9,9,8,9,0,0,0,22,1,0,0,0,6,3
9,10,9,10,0,0,0,22,1,0,0,0,6,3
9,11,10,11,0,0,0,22,1,0,0,0,6,3
9,12,11,12,0,0,0,22,1,0,0,0,6,3
9,13,12,13,0,0,0,22,1,0,0,0,6,3
9,14,13,14,0,0,0,22,1,0,0,0,6,3
9,15,14,15,0,0,0,22,1,0,0,0,6,3
9,16,15,16,0,1,0,22,1,0,0,0,6,3
9,17,16,17,0,1,0,22,1,0,0,0,6,3
9,18,17,18,0,1,0,22,1,0,0,0,6,3
9,19,18,19,0,1,0,22,1,0,0,0,6,3
9,20,19,20,0,1,0,22,1,0,0,0,6,3
9,21,20,21,0,1,0,22,1,0,0,0,6,3
9,22,21,22,0,1,0,22,1,0,0,0,6,3
9,23,22,23,0,0,0,22,1,0,0,0,6,3
9,24,23,24,0,0,0,22,1,0,0,0,6,3
9,25,24,25,0,0,0,22,1,0,0,0,6,3
9,26,25,26,0,0,0,22,1,0,0,0,6,3
9,27,26,27,0,0,0,22,1,0,0,0,6,3
9,28,27,28,0,0,0,22,1,0,0,0,6,3
9,29,28,29,0,0,0,22,1,0,0,0,6,3
9,30,29,30,0,0,0,22,1,0,0,0,6,3
9,31,30,31,0,0,0,22,1,0,0,0,6,3
9,32,31,32,0,0,0,22,1,0,0,0,6,3
9,33,32,33,0,0,0,22,1,0,0,0,6,3
9,34,33,34,0,0,0,22,1,0,0,0,6,3
9,35,34,35,0,0,0,22,1,0,0,0,6,3
9,36,35,36,0,0,0,22,1,0,0,0,6,3
9,37,36,37,0,0,0,22,1,0,0,0,6,3
9,38,37,38,0,1,0,22,1,0,0,0,6,3
9,39,38,39,0,1,0,22,1,0,0,0,6,3
9,40,39,40,0,1,0,22,1,0,0,0,6,3
9,41,40,41,0,1,0,22,1,0,0,0,6,3
9,42,41,42,0,1,0,22,1,0,0,0,6,3
9,43,42,43,0,1,0,22,1,0,0,0,6,3
9,44,43,44,0,1,0,22,1,0,0,0,6,3
9,45,44,45,0,1,0,22,1,0,0,0,6,3
9,46,45,46,0,1,0,22,1,0,0,0,6,3
9,47,46,47,0,1,0,22,1,0,0,0,6,3
9,48,47,48,0,1,0,22,1,0,0,0,6,3
9,49,48,49,0,1,0,22,1,0,0,0,6,3
9,50,49,50,0,1,0,22,1,0,0,0,6,3
9,51,50,51,0,1,0,22,1,0,0,0,6,3
9,52,51,52,0,1,0,22,1,0,0,0,6,3
10,1,0,1,0,0,0,20,1,1,0,0,0,5
10,2,1,2,0,1,0,20,1,1,0,0,0,5
10,3,2,3,0,1,0,20,1,1,0,0,0,5
10,4,3,4,0,1,0,20,1,1,0,0,0,5
10,5,4,5,0,1,0,20,1,1,0,0,0,5
10,6,5,6,0,0,0,20,1,1,0,0,0,5
10,7,6,7,0,0,0,20,1,1,0,0,0,5
10,8,7,8,0,0,0,20,1,1,0,0,0,5
10,9,8,9,0,0,0,20,1,1,0,0,0,5
10,10,9,10,0,0,0,20,1,1,0,0,0,5
10,11,10,11,0,0,0,20,1,1,0,0,0,5
10,12,11,12,0,0,0,20,1,1,0,0,0,5
10,13,12,13,0,0,0,20,1,1,0,0,0,5
10,14,13,14,0,0,0,20,1,1,0,0,0,5
10,15,14,15,0,0,0,20,1,1,0,0,0,5
10,16,15,16,0,0,0,20,1,1,0,0,0,5
10,17,16,17,0,0,0,20,1,1,0,0,0,5
10,18,17,18,0,0,0,20,1,1,0,0,0,5
10,19,18,19,0,0,0,20,1,1,0,0,0,5
10,20,19,20,0,0,0,20,1,1,0,0,0,5
10,21,20,21,0,0,0,20,1,1,0,0,0,5
10,22,21,22,0,0,0,20,1,1,0,0,0,5
10,23,22,23,0,0,0,20,1,1,0,0,0,5
10,24,23,24,0,0,0,20,1,1,0,0,0,5
10,25,24,25,0,0,0,20,1,1,0,0,0,5
10,26,25,26,0,0,0,20,1,1,0,0,0,5
10,27,26,27,0,0,0,20,1,1,0,0,0,5
10,28,27,28,0,0,0,20,1,1,0,0,0,5
10,29,28,29,0,0,0,20,1,1,0,0,0,5
10,30,29,30,0,0,0,20,1,1,0,0,0,5
10,31,30,31,0,0,0,20,1,1,0,0,0,5
10,32,31,32,0,0,0,20,1,1,0,0,0,5
10,33,32,33,0,0,0,20,1,1,0,0,0,5
10,34,33,34,0,0,0,20,1,1,0,0,0,5
10,35,34,35,0,0,0,20,1,1,0,0,0,5
10,36,35,36,0,0,0,20,1,1,0,0,0,5
10,37,36,37,0,0,0,20,1,1,0,0,0,5
10,38,37,38,0,0,0,20,1,1,0,0,0,5
10,39,38,39,0,0,0,20,1,1,0,0,0,5
10,40,39,40,0,0,0,20,1,1,0,0,0,5
10,41,40,41,0,0,0,20,1,1,0,0,0,5
10,42,41,42,0,0,0,20,1,1,0,0,0,5
10,43,42,43,0,0,0,20,1,1,0,0,0,5
10,44,43,44,0,0,0,20,1,1,0,0,0,5
10,45,44,45,0,0,0,20,1,1,0,0,0,5
10,46,45,46,0,0,0,20,1,1,0,0,0,5
10,47,46,47,0,0,0,20,1,1,0,0,0,5
10,48,47,48,0,0,0,20,1,1,0,0,0,5
10,49,48,49,0,0,0,20,1,1,0,0,0,5
10,50,49,50,0,0,0,20,1,1,0,0,0,5
10,51,50,51,0,0,0,20,1,1,0,0,0,5
10,52,51,52,0,0,0,20,1,1,0,0,0,5
11,1,0,1,0,0,1,26,1,0,0,1,3,3
11,2,1,2,0,0,1,26,1,0,0,1,3,3
11,3,2,3,0,0,1,26,1,0,0,1,3,3
11,4,3,4,0,0,1,26,1,0,0,1,3,3
11,5,4,5,0,0,1,26,1,0,0,1,3,3
11,6,5,6,0,0,1,26,1,0,0,1,3,3
11,7,6,7,0,0,1,26,1,0,0,1,3,3
11,8,7,8,0,0,1,26,1,0,0,1,3,3
11,9,8,9,0,1,1,26,1,0,0,1,3,3
11,10,9,10,0,1,1,26,1,0,0,1,3,3
11,11,10,11,0,1,1,26,1,0,0,1,3,3
11,12,11,12,0,1,1,26,1,0,0,1,3,3
11,13,12,13,0,1,1,26,1,0,0,1,3,3
11,14,13,14,0,1,1,26,1,0,0,1,3,3
11,15,14,15,0,1,1,26,1,0,0,1,3,3
11,16,15,16,0,1,1,26,1,0,0,1,3,3
11,17,16,17,0,1,1,26,1,0,0,1,3,3
11,18,17,18,0,1,1,26,1,0,0,1,3,3
11,19,18,19,0,0,1,26,1,0,0,1,3,3
11,20,19,20,0,0,1,26,1,0,0,1,3,3
11,21,20,21,0,0,1,26,1,0,0,1,3,3
11,22,21,22,0,0,1,26,1,0,0,1,3,3
11,23,22,23,0,0,1,26,1,0,0,1,3,3
11,24,23,24,0,0,1,26,1,0,0,1,3,3
11,25,24,25,0,0,1,26,1,0,0,1,3,3
11,26,25,26,0,0,1,26,1,0,0,1,3,3
11,27,26,27,0,0,1,26,1,0,0,1,3,3
11,28,27,28,0,0,1,26,1,0,0,1,3,3
11,29,28,29,0,0,1,26,1,0,0,1,3,3
11,30,29,30,0,0,1,26,1,0,0,1,3,3
11,31,30,31,0,0,1,26,1,0,0,1,3,3
11,32,31,32,0,0,1,26,1,0,0,1,3,3
11,33,32,33,0,0,1,26,1,0,0,1,3,3
11,34,33,34,0,0,1,26,1,0,0,1,3,3
11,35,34,35,0,0,1,26,1,0,0,1,3,3
11,36,35,36,0,0,1,26,1,0,0,1,3,3
11,37,36,37,0,0,1,26,1,0,0,1,3,3
11,38,37,38,0,0,1,26,1,0,0,1,3,3
11,39,38,39,0,0,1,26,1,0,0,1,3,3
11,40,39,40,0,0,1,26,1,0,0,1,3,3
11,41,40,41,0,0,1,26,1,0,0,1,3,3
11,42,41,42,0,0,1,26,1,0,0,1,3,3
11,43,42,43,0,0,1,26,1,0,0,1,3,3
11,44,43,44,0,0,1,26,1,0,0,1,3,3
11,45,44,45,0,1,1,26,1,0,0,1,3,3
11,46,45,46,0,1,1,26,1,0,0,1,3,3
11,47,46,47,0,1,1,26,1,0,0,1,3,3
11,48,47,48,0,1,1,26,1,0,0,1,3,3
11,49,48,49,0,1,1,26,1,0,0,1,3,3
11,50,49,50,0,1,1,26,1,0,0,1,3,3
11,51,50,51,0,1,1,26,1,0,0,1,3,3
11,52,51,52,0,1,1,26,1,0,0,1,3,3
12,1,0,1,0,0,0,40,1,1,0,0,2,5
12,2,1,2,0,0,0,40,1,1,0,0,2,5
12,3,2,3,0,0,0,40,1,1,0,0,2,5
12,4,3,4,0,0,0,40,1,1,0,0,2,5
12,5,4,5,0,1,0,40,1,1,0,0,2,5
12,6,5,6,0,1,0,40,1,1,0,0,2,5
12,7,6,7,0,1,0,40,1,1,0,0,2,5
12,8,7,8,0,1,0,40,1,1,0,0,2,5
12,9,8,9,0,1,0,40,1,1,0,0,2,5
12,10,9,10,0,1,0,40,1,1,0,0,2,5
12,11,10,11,0,1,0,40,1,1,0,0,2,5
12,12,11,12,0,1,0,40,1,1,0,0,2,5
12,13,12,13,0,1,0,40,1,1,0,0,2,5
12,14,13,14,0,1,0,40,1,1,0,0,2,5
12,15,14,15,0,1,0,40,1,1,0,0,2,5
12,16,15,16,0,1,0,40,1,1,0,0,2,5
12,17,16,17,0,1,0,40,1,1,0,0,2,5
12,18,17,18,0,1,0,40,1,1,0,0,2,5
12,19,18,19,0,1,0,40,1,1,0,0,2,5
12,20,19,20,0,1,0,40,1,1,0,0,2,5
12,21,20,21,0,1,0,40,1,1,0,0,2,5
12,22,21,22,0,1,0,40,1,1,0,0,2,5
12,23,22,23,0,1,0,40,1,1,0,0,2,5
12,24,23,24,0,1,0,40,1,1,0,0,2,5
12,25,24,25,0,1,0,40,1,1,0,0,2,5
12,26,25,26,0,1,0,40,1,1,0,0,2,5
12,27,26,27,0,1,0,40,1,1,0,0,2,5
12,28,27,28,0,1,0,40,1,1,0,0,2,5
12,29,28,29,0,1,0,40,1,1,0,0,2,5
12,30,29,30,0,1,0,40,1,1,0,0,2,5
12,31,30,31,0,1,0,40,1,1,0,0,2,5
12,32,31,32,0,1,0,40,1,1,0,0,2,5
12,33,32,33,0,1,0,40,1,1,0,0,2,5
12,34,33,34,0,1,0,40,1,1,0,0,2,5
12,35,34,35,0,1,0,40,1,1,0,0,2,5
12,36,35,36,0,1,0,40,1,1,0,0,2,5
12,37,36,37,0,1,0,40,1,1,0,0,2,5
12,38,37,38,0,1,0,40,1,1,0,0,2,5
12,39,38,39,0,1,0,40,1,1,0,0,2,5
12,40,39,40,0,1,0,40,1,1,0,0,2,5
12,41,40,41,0,1,0,40,1,1,0,0,2,5
12,42,41,42,0,1,0,40,1,1,0,0,2,5
12,43,42,43,0,1,0,40,1,1,0,0,2,5
12,44,43,44,0,1,0,40,1,1,0,0,2,5
12,45,44,45,0,1,0,40,1,1,0,0,2,5
12,46,45,46,0,1,0,40,1,1,0,0,2,5
12,47,46,47,0,1,0,40,1,1,0,0,2,5
